video_id,category,video_length,raw_video_file_length,phi_mrr,video_mrr,mrr_delta,phi_t_ndcg,video_temporal_ndcg,t_ndcg_delta,phi_cos_sim_mean,phi_cos_sim_min,video_cos_sim_mean,video_cos_sim_min,phi_cos_sim_residual_mean,phi_cos_sim_residual_min,video_cos_sim_residual_mean,video_cos_sim_residual_min,apcs_nll,apcs_perplexity,video_surprisal_var,video_surprisal_avg,video_surprisal_max,text_cos_sim,video_cos_sim,text_cos_sim_residual,video_cos_sim_residual,apcs_surprisal_nll,caption_surprisal_nll,caption_perplexity,norm_id,llama_mrr,llama_recall_at_1,llama_cos_sim_mean,llama_cos_sim_min,llama_mrr_start,llama_mrr_middle,llama_mrr_end,llama_mrr_delta,llama_vs_phi_mrr
Dan-Robinson_3-clip-3,Action/Vehicle,60,61,0.3890814509803921,0.2615977443603886,0.1274837066200035,0.7908304140941607,0.6521941278084146,0.1386362862857461,0.3166383547008546,0.1648864615384615,0.8021952783068022,0.6777350443104903,0.0351971816239316,-0.0985012307692307,0.4531240241291622,0.2615220438068111,1.2231852213541667,3.9245198567708335,0.0155448224395513,0.1380499452352523,0.5876062512397766,0.3166383547008546,0.8021952783068022,0.0351971816239316,0.4531240241291622,1.2231852213541667,1.2231852213541667,3.9245198567708335,Dan-Robinson_3-clip-3,0.472222,0.111111,0.5494844444444444,0.4594336666666667,0.444444,0.388889,0.583333,0.2106242556396114,0.08314054901960788
Gung-Ho-Vids_0-clip-2,Action/Vehicle,60,90,0.3508161764705882,0.2615977443603886,0.0892184321101996,0.7706506685730244,0.6487755335350428,0.1218751350379816,0.2082470235042735,0.0507597692307692,0.7961320529381434,0.7318384324510893,0.041629235042735,-0.1161123076923077,0.5344091206789017,0.3560436762248476,1.1032063802083334,3.556347139676412,0.0123906694352626,0.0991495251655578,0.5461013317108154,0.2082470235042735,0.7961320529381434,0.041629235042735,0.5344091206789017,1.1032063802083334,1.1032063802083334,3.556347139676412,Gung-Ho-Vids_0-clip-2,0.6296296666666666,0.333333,0.5091401111111111,0.4092466666666667,0.611111,0.611111,0.666667,0.36803192230627807,0.27881349019607843
Gung-Ho-Vids_12-clip-1,Action/Vehicle,60,61,0.3690396666666666,0.2615977443603886,0.107441922306278,0.7813290426463226,0.6384341562013349,0.1428948864449877,0.2462351965811965,0.1189026153846153,0.8874910697340965,0.833652913570404,0.0228232735042735,-0.0821578461538461,0.5617660197118918,0.3727929121814668,1.001123046875,3.064340893427531,0.0076369387097656,0.0713246539235115,0.4733130931854248,0.2462351965811965,0.8874910697340965,0.0228232735042735,0.5617660197118918,1.001123046875,1.001123046875,3.064340893427531,Gung-Ho-Vids_12-clip-1,0.7685186666666667,0.666667,0.6446537777777777,0.555019,0.777778,0.75,0.777778,0.506920922306278,0.3994790000000001
Gung-Ho-Vids_2-clip-2,Action/Vehicle,60,64,0.3477257058823529,0.2782412380151849,0.0694844678671679,0.7804461432387718,0.6615616232361771,0.1188845200025947,0.2254574102564102,0.0631918461538461,0.7990251953403155,0.7266047050555547,0.0516850491452991,-0.1051068461538461,0.6705187273522218,0.5450901926184694,1.1503580729166667,3.594843498865764,0.0294913090765476,0.164565771818161,0.7372684478759766,0.2254574102564102,0.7990251953403155,0.0516850491452991,0.6705187273522218,1.1503580729166667,1.1503580729166667,3.594843498865764,Gung-Ho-Vids_2-clip-2,0.564815,0.333333,0.5577044444444444,0.41931399999999996,0.555556,0.583333,0.555556,0.28657376198481505,0.21708929411764705
Gung-Ho-Vids_5-clip-2,Action/Vehicle,60,62,0.3636676078431373,0.2782412380151849,0.0854263698279523,0.7825233262416054,0.6557605546872629,0.1267627715543424,0.2477798888888888,0.1190253846153846,0.6176031678915024,0.4795712667206923,0.0423039465811965,-0.0888266153846153,0.3545944207968811,0.1715448610290574,1.0968180338541669,3.3187775115172067,0.0337318107485771,0.2072351723909378,0.7930401563644409,0.2477798888888888,0.6176031678915024,0.0423039465811965,0.3545944207968811,1.0968180338541669,1.0968180338541669,3.3187775115172067,Gung-Ho-Vids_5-clip-2,0.527778,0.222222,0.5090941111111111,0.4286903333333334,0.555556,0.416667,0.611111,0.24953676198481506,0.16411039215686268
Gung-Ho-Vids_8-clip-0,Action/Vehicle,60,61,0.325511156862745,0.2677127164251917,0.0577984404375533,0.7619557961941593,0.6453310832266176,0.1166247129675417,0.2082843482905983,0.0760236153846153,0.5752740229169527,0.374691577317814,0.00032097008547,-0.1059256153846153,0.2988421342646082,-0.0094779377492765,1.2961181640625,3.883859896659851,0.0351319573819637,0.207571655511856,0.9420053362846376,0.2082843482905983,0.5752740229169527,0.00032097008547,0.2988421342646082,1.2961181640625,1.2961181640625,3.883859896659851,Gung-Ho-Vids_8-clip-0,0.5277776666666666,0.222222,0.34230266666666664,0.211786,0.611111,0.361111,0.611111,0.2600649502414749,0.20226650980392158
Hamiltonville-Farm_1-clip-4,Farming,60,65,0.3677091568627451,0.2841545150751007,0.0835546417876443,0.7827067904835469,0.6693010309848334,0.1134057594987134,0.1301401068376068,-0.0235498461538461,0.8385570223132769,0.6698051858693361,0.0137843675213675,-0.1676303076923077,0.709501481304566,0.4636789175371329,0.9622090657552084,3.057557608683904,0.017048118636012,0.0861670896410942,0.8633196949958801,0.1301401068376068,0.8385570223132769,0.0137843675213675,0.709501481304566,0.9622090657552084,0.9622090657552084,3.057557608683904,Hamiltonville-Farm_1-clip-4,0.5555556666666667,0.333333,0.15183933333333333,0.09114166666666666,0.5,0.555556,0.611111,0.27140115159156597,0.1878465098039216
Hamiltonville-Farm_2-clip-0,Farming,60,63,0.3643082941176471,0.2782412380151849,0.0860670561024621,0.7845499810587148,0.6566951149773564,0.1278548660813583,0.2034667478632478,0.0639084615384615,0.7365324099858602,0.5800533841053644,0.0593831196581196,-0.076102,0.5464210646847883,0.3148054260139664,1.0591389973958334,3.2504576285680136,0.0216125901788473,0.178550973534584,0.6304126381874084,0.2034667478632478,0.7365324099858602,0.0593831196581196,0.5464210646847883,1.0591389973958334,1.0591389973958334,3.2504576285680136,Hamiltonville-Farm_2-clip-0,0.5833333333333333,0.333333,0.49737933333333334,0.375689,0.527778,0.611111,0.611111,0.30509209531814835,0.21902503921568617
Hamiltonville-Farm_6-clip-18,Farming,60,68,0.3441484509803921,0.2854664842455952,0.0586819667347969,0.7679642504219347,0.6684663972338983,0.0994978531880363,0.249925985042735,0.106189,0.8061574697494507,0.6960681304335594,0.0491181132478632,-0.0719977692307692,0.2908409566928943,0.0795939409484465,1.129541015625,3.415583042303721,0.0129524115473032,0.1142211258411407,0.6102101802825928,0.249925985042735,0.8061574697494507,0.0491181132478632,0.2908409566928943,1.129541015625,1.129541015625,3.415583042303721,Hamiltonville-Farm_6-clip-18,0.4444443333333333,0.111111,0.34737666666666667,0.14640333333333333,0.527778,0.444444,0.361111,0.1589778490877381,0.10029588235294118
Hamiltonville-Farm_8-clip-3,Farming,60,62,0.3770129411764706,0.2782412380151849,0.0987717031612856,0.7838391311062967,0.6578134280910044,0.1260257030152922,0.2359119957264957,0.0479702307692307,0.7475785464048386,0.6191212125122547,0.0476742991452991,-0.1467474615384615,0.5397745768229166,0.339221800211817,1.1782063802083331,3.753686863183975,0.0189251042902469,0.1878811717033386,0.7810719013214111,0.2359119957264957,0.7475785464048386,0.0476742991452991,0.5397745768229166,1.1782063802083331,1.1782063802083331,3.753686863183975,Hamiltonville-Farm_8-clip-3,0.48148133333333326,0.111111,0.5252921111111111,0.4862496666666667,0.444444,0.388889,0.611111,0.20324009531814835,0.10446839215686266
