video_id,category,video_length,raw_video_file_length,text_mrr,video_mrr,mrr_delta,text_temporal_ndcg,video_temporal_ndcg,t_ndcg_delta,text_cos_sim,video_cos_sim,text_cos_sim_residual,video_cos_sim_residual,apcs_surprisal_nll,apcs_perplexity,video_surprisal_var,video_surprisal_avg,video_surprisal_max
Bertram-Craft_12-clip-25,Survival,60,66,0.4127826923076923,0.2841545150751008,0.1286281772325915,0.7780556890211977,0.661246229161413,0.11680945985978475,0.2233104722222222,0.8606233969330788,0.02942780992063492,0.6075435864428679,0.48581390380859374,2.0007346232732135,0.010924342088401318,0.12164363265037537,0.5092411637306213
Bertram-Craft_2-clip-3,Survival,60,66,0.33866471153846156,0.2841545150751008,0.05451019646336075,0.7743752483261908,0.6615230697037494,0.11285217862244135,0.18608723333333335,0.7580148627360662,0.06382874603174604,0.6419952300687631,1.0741048177083334,3.2250301043192544,0.026697009801864624,0.1331721395254135,0.7620462775230408
Bertram-Craft_5-clip-33,Survival,60,88,0.36333367307692305,0.26602641700394186,0.09730725607298119,0.7796978399055648,0.652215866215817,0.1274819736897479,0.3290928464285714,0.8767072881261507,0.04177675833333333,0.6785428275664648,1.0170450846354167,3.1128746728102366,0.005224124062806368,0.0967116728425026,0.49874651432037354
Chad-Zuber_10-clip-20,Survival,60,66,0.33853125,0.28415451507510076,0.05437673492489925,0.7786855524717601,0.6663568898340625,0.11232866263769758,0.17865046507936508,0.6538388778765997,0.03468937896825397,0.5373933570614705,1.1117350260416667,3.3198652346928914,0.04087217524647713,0.14959053695201874,0.9402682781219482
Chad-Zuber_4-clip-2,Survival,60,71,0.3442569807692308,0.2843470844791492,0.05990989629008159,0.7665738187333525,0.670344214982627,0.09622960375072553,0.18826967261904762,0.6841427882512411,0.04630725674603175,0.4604394549193482,0.9132700602213542,2.9936382591724398,0.04088529944419861,0.19872412085533142,0.7214463949203491
Chad-Zuber_5-clip-0,Survival,60,61,0.36983476470588234,0.26159774436038863,0.1082370203454937,0.7860223641333094,0.6441163823884481,0.14190598174486124,0.223895,0.5445588044822216,0.08634705769230769,0.4588334610064824,1.1387003580729167,3.869466410080592,0.0847078412771225,0.23391921818256378,0.978542685508728
Climate-Change_0-clip-4,Nature/Doc,60,65,0.3610529607843137,0.2841545150751008,0.07689844570921289,0.7810114744322472,0.6605139614646212,0.12049751296762601,0.25614041452991454,0.5403367665906748,0.03917770726495726,0.31281269248574967,1.0689615885416666,3.3384096225102744,0.04034728184342384,0.27095431089401245,0.8012502789497375
Climate-Change_2-clip-4,Nature/Doc,60,61,0.3582045686274509,0.26159774436038863,0.0966068242670623,0.7704463789704492,0.6430886415505652,0.127357737419884,0.19913803205128205,0.5691877231001854,0.0014247286324786342,0.27531683724373573,1.2961181640625,3.883859896659851,0.026395158842206,0.26295197010040283,0.7864338755607605
Climate-Change_6-clip-7,Nature/Doc,60,64,0.3539589411764706,0.27824123801518497,0.07571770316128562,0.7724975920326062,0.6594194763655301,0.11307811566707604,0.20761680982905986,0.5872921360035738,-0.003130664529914531,0.44818112805175286,1.2961181640625,3.883859896659851,0.049256496131420135,0.32926228642463684,0.993759274482727
Climate-Change_7-clip-3,Nature/Doc,60,62,0.37870782352941174,0.27824123801518497,0.10046658551422677,0.7779874905868821,0.65797003077624,0.12001745981064216,0.24071663247863248,0.5832973358531793,0.05029999358974359,0.4083960832407077,1.0968180338541667,3.3187775115172067,0.048335961997509,0.2509671151638031,0.9073359966278076
Dan-Robinson_3-clip-3,Action/Vehicle,60,61,0.38908145098039215,0.26159774436038863,0.12748370662000352,0.7908304140941607,0.6521941278084146,0.1386362862857461,0.31663835470085466,0.8021952783068022,0.03519718162393162,0.45312402412916225,1.2231852213541667,3.9245198567708335,0.015544822439551353,0.13804994523525238,0.5876062512397766
Gung-Ho-Vids_0-clip-2,Action/Vehicle,60,90,0.35081617647058827,0.26159774436038863,0.08921843211019964,0.7706506685730244,0.6487755335350428,0.12187513503798164,0.20824702350427352,0.7961320529381434,0.041629235042735045,0.5344091206789017,1.1032063802083334,3.556347139676412,0.01239066943526268,0.09914952516555786,0.5461013317108154
Gung-Ho-Vids_12-clip-1,Action/Vehicle,60,61,0.36903966666666665,0.26159774436038863,0.10744192230627803,0.7813290426463226,0.6384341562013349,0.1428948864449877,0.24623519658119658,0.8874910697340965,0.022823273504273506,0.5617660197118918,1.001123046875,3.064340893427531,0.007636938709765673,0.0713246539235115,0.4733130931854248
Gung-Ho-Vids_2-clip-2,Action/Vehicle,60,64,0.3477257058823529,0.27824123801518497,0.06948446786716794,0.7804461432387718,0.6615616232361771,0.11888452000259475,0.22545741025641025,0.7990251953403155,0.051685049145299145,0.6705187273522218,1.1503580729166667,3.5948434988657634,0.029491309076547623,0.164565771818161,0.7372684478759766
